@RELATION reviews-de

@ATTRIBUTE hasPicture                 NUMERIC
@ATTRIBUTE hasVideo                   NUMERIC
@ATTRIBUTE isPurchaseVerified         NUMERIC
@ATTRIBUTE length                     NUMERIC
@ATTRIBUTE rating                     NUMERIC
@ATTRIBUTE sentimentAnalysis          NUMERIC
@ATTRIBUTE sentimentRatingOffset      NUMERIC
@ATTRIBUTE averageProductRating       NUMERIC
@ATTRIBUTE productRatingOffset        NUMERIC
@ATTRIBUTE consecutiveCaps            NUMERIC
@ATTRIBUTE consCapsTextRatio          NUMERIC
@ATTRIBUTE distinctWordRatio          NUMERIC
@ATTRIBUTE averageWordLength          NUMERIC
@ATTRIBUTE numberOfLineBreaks         NUMERIC
@ATTRIBUTE numberOfQuestionMarks      NUMERIC
@ATTRIBUTE numberOfExclMarks          NUMERIC
@ATTRIBUTE lineBreakTextRatio         NUMERIC
@ATTRIBUTE punctuationLetterRatio     NUMERIC
@ATTRIBUTE nlpExpert	NUMERIC
@ATTRIBUTE nlpWaitingForMrPerfect	NUMERIC
@ATTRIBUTE nlpNoDemands	NUMERIC
@ATTRIBUTE nlpBeatingAroundTheBush	NUMERIC
@ATTRIBUTE nlpRager	NUMERIC
@ATTRIBUTE nlpEuphoric	NUMERIC
@ATTRIBUTE nlpComplainer	NUMERIC
@ATTRIBUTE persona                {Expert,WaitingForMrPerfect,NoDemands,BeatingAroundTheBush,Rager,Euphoric,Complainer}

@DATA
0,1,0,1476,5,5,5,?,?,16,0.011299435028248588,0.775,7.08,20,0,1,0.1,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,619,1,1,5,?,?,0,0.0,0.8181818181818182,6.252525252525253,0,0,3,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,110,1,2,6,?,?,0,0.0,1.0,6.111111111111111,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,1,115,1,1,5,?,?,0,0.0,0.9411764705882353,6.764705882352941,0,0,7,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
0,0,1,971,4,5,6,?,?,0,0.0,0.7604790419161677,5.81437125748503,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,1109,1,5,9,?,?,0,0.0,0.8197674418604651,6.377906976744186,4,0,0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
1,0,1,2691,5,5,5,?,?,0,0.0,0.6800947867298578,6.277251184834123,14,1,2,0.03317535545023697,0.0071090047393364926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,634,1,2,6,?,?,0,0.0,0.8723404255319149,6.617021276595745,4,1,0,0.0425531914893617,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,467,1,5,9,?,?,0,0.0,0.828125,7.296875,0,0,3,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rager
1,0,1,4005,1,1,5,?,?,50,0.012703252032520325,0.6465028355387523,7.440453686200378,23,0,1,0.043478260869565216,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Expert
0,0,1,907,5,5,5,?,?,21,0.023702031602708805,0.7898550724637681,6.420289855072464,7,0,4,0.050724637681159424,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euphoric
0,0,1,990,5,5,5,?,?,1,0.0010131712259371835,0.7696969696969697,5.9818181818181815,1,0,0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BeatingAroundTheBush
0,0,1,815,5,5,5,?,?,0,0.0,0.7517241379310344,5.227586206896552,19,0,0,0.1310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euphoric
1,0,1,419,1,1,5,?,?,0,0.0,0.8985507246376812,6.028985507246377,1,1,1,0.014492753623188406,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WaitingForMrPerfect
0,0,1,628,1,4,8,?,?,0,0.0,0.8241758241758241,6.802197802197802,3,0,0,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,376,2,5,8,?,?,0,0.0,0.8793103448275862,6.431034482758621,1,0,0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
1,0,1,354,1,1,5,?,?,0,0.0,0.8431372549019608,6.882352941176471,1,0,0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
0,0,1,349,1,2,6,?,?,0,0.0,0.9090909090909091,6.345454545454546,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Complainer
