@RELATION reviews-de

@ATTRIBUTE hasPicture             NUMERIC
@ATTRIBUTE hasVideo               NUMERIC
@ATTRIBUTE isPurchaseVerified     NUMERIC
@ATTRIBUTE length                 NUMERIC
@ATTRIBUTE rating                 NUMERIC
@ATTRIBUTE sentimentAnalysis      NUMERIC
@ATTRIBUTE sentimentRatingOffset  NUMERIC
@ATTRIBUTE consecutiveCaps        NUMERIC
@ATTRIBUTE consecutivePeriods     NUMERIC
@ATTRIBUTE consCapsTextRatio      NUMERIC
@ATTRIBUTE consPeriodsTextRatio   NUMERIC
@ATTRIBUTE distinctWordRatio      NUMERIC
@ATTRIBUTE averageWordLength      NUMERIC
@ATTRIBUTE numberOfLineBreaks     NUMERIC
@ATTRIBUTE numberOfQuestionMarks  NUMERIC
@ATTRIBUTE numberOfExclMarks      NUMERIC
@ATTRIBUTE lineBreakTextRatio     NUMERIC
@ATTRIBUTE punctuationLetterRatio NUMERIC
@ATTRIBUTE persona                {Expert,Rager,Euphoric,Complainer,WaitingForMrPerfect,BeatingAroundTheBush,NoDemands}

@DATA
0,0,1,177,3,5,7,0,0,0.0,0.0,1.0,8.55,2,0,0,0.1,0.0,WaitingForMrPerfect
0,0,1,531,2,2,5,0,0,0.0,0.0,0.7888888888888889,5.9,0,0,0,0.0,0.0,Expert
0,0,0,1178,5,5,5,0,0,0.0,0.0,0.6684210526315789,6.121052631578947,5,0,0,0.02631578947368421,0.0,BeatingAroundTheBush
0,0,0,486,4,5,6,0,0,0.0,0.0,0.8857142857142857,6.857142857142857,2,0,0,0.02857142857142857,0.0,WaitingForMrPerfect
1,0,1,157,1,5,9,0,0,0.0,0.0,0.896551724137931,5.413793103448276,0,0,5,0.0,0.1724137931034483,Rager
0,0,1,381,1,1,5,0,0,0.0,0.0,0.9016393442622951,6.245901639344262,0,0,0,0.0,0.0,Complainer
0,0,1,231,1,1,5,16,2,0.07407407407407407,0.009259259259259259,0.967741935483871,6.967741935483871,5,0,2,0.16129032258064516,0.06451612903225806,Rager
0,0,1,394,1,1,5,0,0,0.0,0.0,0.9032258064516129,6.354838709677419,0,0,0,0.0,0.0,Complainer
0,0,1,511,1,1,5,0,0,0.0,0.0,0.8095238095238095,6.011904761904762,2,0,3,0.023809523809523808,0.03571428571428571,Expert
0,0,1,532,4,5,6,0,2,0.0,0.0038022813688212928,0.8461538461538461,6.743589743589744,2,0,0,0.02564102564102564,0.0,WaitingForMrPerfect
0,0,1,415,4,5,6,0,0,0.0,0.0,0.8939393939393939,6.196969696969697,2,0,0,0.030303030303030304,0.0,WaitingForMrPerfect
0,0,1,2257,5,5,5,12,0,0.005476951163852123,0.0,0.7025316455696202,6.9335443037974684,22,0,1,0.06962025316455696,0.0031645569620253164,Expert
0,0,1,146,2,1,4,0,0,0.0,0.0,0.92,5.84,0,2,5,0.0,0.28,Rager
0,0,1,423,2,2,5,6,0,0.014598540145985401,0.0,0.875,6.421875,4,0,0,0.0625,0.0,Expert
0,0,1,829,5,5,5,0,5,0.0,0.006234413965087282,0.7954545454545454,6.075757575757576,9,1,0,0.06818181818181818,0.007575757575757576,BeatingAroundTheBush
0,0,1,363,5,3,3,0,5,0.0,0.014749262536873156,0.98,6.78,8,0,0,0.16,0.0,NoDemands
0,0,1,696,5,5,5,2,0,0.0028735632183908046,0.0,0.8846153846153846,6.6923076923076925,0,0,1,0.0,0.009615384615384616,NoDemands
1,0,1,490,5,5,5,0,0,0.0,0.0,0.8625,6.0875,1,0,0,0.0125,0.0,Expert
